,violation_id,violation_name,Place,Region,StoreID,Camid,timestamp,total_violations
69,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
70,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
71,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
72,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,2
73,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
74,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
75,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
76,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,2
77,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,2
78,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
79,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
80,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
81,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,2
82,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,3
83,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,3
84,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,4
85,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,3
86,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,4
87,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,4
88,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,3
89,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,3
90,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,4
91,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,2
92,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,2
93,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,2
94,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,2
95,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,2
96,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,3
97,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,3
98,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,3
99,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,2
100,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,2
101,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,2
102,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,2
103,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,2
104,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
105,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
106,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
107,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
108,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
109,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
110,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
111,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
112,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
113,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
114,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
115,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
116,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
117,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
118,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
119,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
120,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
121,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
122,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
123,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
124,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
125,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
126,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
127,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
128,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
129,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
130,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
131,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
132,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
133,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
134,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
135,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
136,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
137,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,2
138,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
139,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
140,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
141,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
142,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
143,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
144,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
145,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
146,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
147,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,0
148,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,0
149,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,0
150,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,0
151,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,0
152,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
153,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
154,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
155,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
156,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
157,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,0
158,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,0
159,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,0
160,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,0
161,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,0
162,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
163,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,2
164,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,2
165,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,1
166,1,Missing harinet,Middle East,Qatar,2,224,2020-11-13 15:58:20,2
